name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,275,368083,traffic_signals,,signal,,,,2.3901572,48.8370786,,,
,276,11197714743,,,,,,,2.3902105,48.8370898,,,
,277,1395333954,,,,,,,2.3905787,48.8371674,,,
,278,368082,traffic_signals,,signal,,,,2.3912033,48.8373028,,,
,279,2294956144,,,,,,,2.3662273,48.8354018,,,
,280,2294956143,,,,,,,2.3661529,48.8353795,,,
,281,15378809,,,,,,,2.3869318,48.8415944,,,
,282,15378804,,,,,,,2.3858548,48.841195,,,
,283,25001430,traffic_signals,,signal,,,,2.3905772,48.8504738,,,
,284,340402108,,,,,,,2.3893536,48.8517824,,,
,285,194188545,,,,,,,2.3889933,48.8522946,,,
,286,260685981,,,,,,,2.3556747,48.8655582,,,
,287,175042755,,,,,,,2.3559776,48.8660076,,,
,288,368195,traffic_signals,,signal,,,,2.3300717,48.8608967,,,
,289,6145448584,,,,,,,2.3302073,48.8608504,,,
,290,338664953,,,,,,,2.3306639,48.8606919,,,
,291,857429305,crossing,,,,,,2.3662234,48.8431985,,,
,292,5496064207,,,,,,,2.3663554,48.8430914,,,
,293,15859492,,,,,,,2.3663777,48.8430734,,,
,294,367998,traffic_signals,,signal,,,,2.3815641,48.8442794,,,
,295,1284603880,,,,,,,2.3815834,48.8442106,,,
,296,329416063,,,,,,,2.3815539,48.8441445,,,
,297,15378841,,,,,,,2.3914856,48.8374899,,,
,298,15378843,,,,,,,2.3949803,48.8364941,,,
,299,382050,traffic_signals,,signal,,,,2.3650971,48.833824,,,
,300,8809442,,,,,,,2.371344,48.8543972,,,
,301,1301155762,,,,,,,2.3719958,48.8553482,,,
,302,8809445,,,,,,,2.3716475,48.8556896,,,
,303,5528037495,crossing,,,,,,2.3710593,48.8562673,,,
,304,361068,,,,,,,2.3507047,48.8560699,,,
,305,4503161883,traffic_signals,,signal,,,,2.351002,48.855963,,,
,306,25554712,,,,,,,2.3511341,48.8559154,,,
,307,7010868068,,,,,,,2.3201824,48.8644289,,,
,308,7010868059,,,,,,,2.3200447,48.8641853,,,
,309,25554694,,,,,,,2.3472935,48.8571857,,,
Châtelet,310,4619165930,,,,,,,2.3476743,48.8575378,,,
,311,4729508762,,,,,,,2.3263774,48.8563434,,,
,312,25192224,,,,,,,2.3265486,48.8564385,,,
,313,14956567,,,,,,,2.3772072,48.8510217,,,
,314,10124076553,,,,,,,2.3771876,48.850992,,,
,315,10124076566,,,,,,,2.3768712,48.8505313,,,
,316,2596022343,,,,,,,2.3412406,48.8316077,,,
,317,4210460020,,,,,,,2.3421203,48.8313658,,,
,318,4210460019,,,,,,,2.3421848,48.8313481,,,
,319,1470710857,,,,,,,2.3424546,48.8312739,,,
,320,2624139237,,,,,,,2.3424762,48.831268,,,
,321,1664142351,,,,,,,2.3430685,48.8311051,,,
,322,1664142324,,,,,,,2.3437242,48.8309249,,,
,323,19722936,traffic_signals,,signal,,,,2.3275098,48.8833741,,,
,324,821879336,,,,,,,2.3276856,48.8834361,,,
,325,390252,,,,,,,2.3876847,48.8364877,,,
,326,2405790852,,,,,,,2.3877824,48.8365066,,,
,327,702932776,,,,,,,2.3911144,48.8638213,,,
,328,7710726167,,,,,,,2.3890314,48.8632847,,,
,329,148943357,,,,,,,2.3885699,48.8631658,,,
,330,36593698,traffic_signals,,signal,,,,2.3294369,48.8421147,,,
,331,254129778,,,,,,,2.329461,48.8420363,,,
,332,470195,traffic_signals,,signal,,,,2.3485666,48.879398,,,
,333,414997486,crossing,,,,,,2.3483644,48.8794843,,,
,334,21292407,traffic_signals,,signal,,,,2.3449903,48.8349574,,,
,335,2503987485,,,,,,,2.3451416,48.8357619,,,
,336,17975528,,,,,,,2.345243,48.8362806,,,
,337,245395586,traffic_signals,,signal,,,,2.3455021,48.8375834,,,
,338,1142990126,traffic_signals,,signal,,,,2.3619839,48.840258,,,
,339,411736451,,,,,,,2.3620934,48.8401736,,,
,340,15435259,,,,,,,2.3790924,48.8318615,,,
,341,8259542292,,,,,,,2.3796683,48.83124,,,
,342,15435261,,,,,,,2.3798378,48.8310625,,,
,343,691304751,traffic_signals,,signal,,,,2.380304,48.8579579,,,
,344,2291048633,crossing,,,,,,2.3803162,48.8580387,,,
,345,621239293,,,,,,,2.3800503,48.8583965,,,
,346,151362739,,,,,,,2.3794926,48.8591522,,,
,347,34151805,traffic_signals,,signal,,,,2.3786397,48.8603089,,,
,348,361098,traffic_signals,,signal,,,,2.3478935,48.8706821,,,
,349,25701659,traffic_signals,,signal,,,,2.3467333,48.8708749,,,
,350,26039984,traffic_signals,,signal,,,,2.3459801,48.871,,,
,351,25207311,,,,,,,2.3457164,48.8710438,,,
,352,361106,,,,,,,2.3333015,48.8729517,,,
,353,169319602,,,,,,,2.3338689,48.8716014,,,
,354,15860545,,,,,,,2.3726019,48.8375724,,,
,355,5701726019,,,,,,,2.3731937,48.837881,,,
,356,356428388,,,,,,,2.3662328,48.8432854,,,
,357,15643080,,,,,,,2.365954,48.8438778,,,
,358,361107,,,,,,,2.3311609,48.8732175,,,
,359,361108,traffic_signals,,signal,,,,2.3313143,48.8742709,,,
,360,470137,traffic_signals,,signal,,,,2.3490085,48.8499851,,,
,361,1756735710,,,,,,,2.3487733,48.8502707,,,
,362,382051,,,,,,,2.3676402,48.8321655,,,
,363,262468577,,,,,,,2.3668831,48.8316976,,,
,364,678414455,traffic_signals,,signal,,,,2.3662781,48.8313404,,,
,365,25554239,,,,,,,2.3365244,48.862909,,,
,366,25554240,,,,,,,2.3373121,48.8627177,,,
,367,25554265,,,,,,,2.3374763,48.8626713,,,
Palais Royal - Musée du Louvre,368,5238528592,,,,,,,2.3378547,48.8625644,,,
,369,24972141,,,,,,,2.3382605,48.8515292,,,
,370,368232,traffic_signals,,signal,,,,2.3370565,48.8514647,,,
,371,15864047,,,,,,,2.3701265,48.8330546,,,
,372,15864063,,,,,,,2.3697869,48.8327487,,,
,373,361094,,,,,,,2.3557506,48.8689741,,,
,374,431175331,,,,,,,2.3555838,48.8690106,,,
,375,1666564768,traffic_signals,,signal,,,,2.3688832,48.835349,,,
,376,15859504,traffic_signals,,signal,,,,2.3690123,48.8351188,,,
,377,14956518,,,,,,,2.3726215,48.8350144,,,
,378,319177740,,,,,,,2.373333,48.8353426,,,
,379,364627449,,,,,,,2.3329811,48.8536218,,,
,380,10655489887,,,,,,,2.3332328,48.8536885,,,
,381,367994,traffic_signals,,signal,,,,2.3694048,48.8468478,,,
,382,665309036,traffic_signals,,signal,,,,2.3693684,48.8468741,,,
,383,5328163447,,,,,,,2.3686071,48.8474134,,,
