name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,419,41520512,,,,,,,-111.9442882,33.4254677,,,
,420,41520515,,,,,,,-111.9443033,33.4243197,,,
,421,41520518,,,,,,,-111.9442993,33.4231771,,,
,422,41520521,traffic_signals,,signal,,,,-111.944266,33.4218936,,,
,423,41520523,,,,,,,-111.9442498,33.420638,,,
,424,41520525,,,,,,,-111.9442479,33.4203483,,,
,425,41520528,,,,,,,-111.944246,33.4194019,,,
,426,41520531,,,,,,,-111.9442453,33.4189174,,,
,427,41520533,,,,,,,-111.9442439,33.4177833,,,
,428,41520536,,,,,,,-111.944241,33.4168222,,,
,429,41520539,,,,,,,-111.9442403,33.4160678,,,
,430,41520542,,,,,,,-111.9442483,33.4146347,,,
,431,41520549,,,,,,,-111.9449089,33.3872721,,,
,432,41520556,,,,,,,-111.9456814,33.3872219,,,
,433,41520559,,,,,,,-111.9455526,33.3864264,,,
,434,41520562,,,,,,,-111.9476046,33.3309847,,,
,435,41520565,,,,,,,-111.9476531,33.3281462,,,
,436,41520568,,,,,,,-111.9470131,33.3597274,,,
,437,41520571,,,,,,,-111.9470064,33.3592598,,,
,438,41520578,,,,,,,-111.9442875,33.4146337,,,
,439,41520581,,,,,,,-111.9443138,33.4139026,,,
,440,41520584,,,,,,,-111.9443094,33.4131817,,,
,441,41520587,,,,,,,-111.9443024,33.4110208,,,
,442,41520590,,,,,,,-111.9442963,33.410264,,,
,443,41520593,,,,,,,-111.9442959,33.4095166,,,
,444,41520594,,,,,,,-111.9442945,33.4087687,,,
,445,41520604,,,,,,,-111.9439499,33.4073767,,,
,446,41520610,turning_circle,,,,,,-111.9465515,33.3604211,,,
,447,41520611,,,,,,,-111.9465554,33.361074,,,
,448,41520615,turning_circle,,,,,,-111.94656,33.3614606,,,
,449,41520621,,,,,,,-111.9475125,33.3733377,,,
,450,41520624,,,,,,,-111.9476892,33.3739546,,,
,451,41520626,,,,,,,-111.9478476,33.3745935,,,
,452,41520639,,,,,,,-111.9479582,33.3752068,,,
,453,41520751,,,,,,,-111.9436835,33.391434,,,
,454,41520754,,,,,,,-111.9463079,33.3914501,,,
,455,41520760,,,,,,,-111.9505903,33.3908735,,,
,456,41520761,,,,,,,-111.9521201,33.3909997,,,
,457,41520764,,,,,,,-111.9527275,33.3910025,,,
,458,41520772,,,,,,,-111.9541523,33.390895,,,
,459,41520777,,,,,,,-111.9576131,33.3911697,,,
,460,41520780,turning_circle,,,,,,-111.9569767,33.3911635,,,
,461,41520785,turning_circle,,,,,,-111.9560583,33.3911563,,,
,462,41524495,,,,,,,-111.9545642,33.3653272,,,
,463,41524498,,,,,,,-111.9551702,33.3653595,,,
,464,41527808,,,,,,,-111.9784021,33.3563814,,,
,465,41527810,,,,,,,-111.9774713,33.3561604,,,
,466,41527813,,,,,,,-111.9762018,33.3559564,,,
,467,41527816,,,,,,,-111.9761995,33.3554341,,,
,468,41528346,,,,,,,-111.9818563,33.3936204,,,
,469,41528357,,,,,,,-111.9783652,33.3940015,,,
,470,41529691,traffic_signals,,signal,,,,-111.9304264,33.4231132,,,
,471,41529697,,,,,,,-111.9290798,33.4242989,,,
,472,41529701,traffic_signals,,signal,,,,-111.926223,33.4245011,73,,
,473,41529706,,,,,,,-111.8957069,33.4239797,,,
,474,41529707,,,,,,,-111.8953319,33.4241283,,,
,475,41529713,,,,,,,-111.891924,33.4241487,,,
,476,41529740,traffic_signals,,signal,,,,-111.940071,33.424345,66,,
,477,41529742,,,,,,,-111.9392663,33.4243488,,,
,478,41529793,,,,,,,-111.9061069,33.4249456,,,
